а іменно	а саме
без п'ятнадцяти три	за п'ятнадцять(чверть) третя
без усякого сумніву	без жодного (ніякого) сумніву
без утайки	відкрито
без четверті	за чверть
безбілетне перевезення	безквиткове перевезення
беззаперечні істини	незаперечні істини
безкольоровий	безколірний
безкорисний	безкорисливий
безнаказаність	безкарність
безналічний	безготівковий
безпереривно	безперервно
безпосередньо бере участь у	бере безпосередню участь у
безпредєл	беззаконня / безмір / правове свавілля
безпрецендентний	безпрецедентний
чужа біль	чужий біль
белзський банк	белзький банк
беловежська угода	біловезька угода
бенкет горою	бенкет на всю губу
бере своє начало	бере свій початок
бережись автомобіля	стережись автомобіля
бестселлер	бестселер
битком набитий зал	переповнений зал
блінчики з сиром	млинці із сиром
бліц-кріг	бліцкриг
благополуччя	добробут
благословіння	благословення
благоустроїти	упорядкувати
блаженніший	блаженнійший
близорукий	короткозорий
близькі по духу	споріднені духом
бляхарний	бляхарський
богданна	богдана
богословія	богослов'я
під відкритим небом	просто неба
боковий	бічний
позвоночник	хребет
болотяний	болотний
болтати язиком	теревенити / молоти язиком / плести язиком
болтовня	балаканина / базікання
больничний листок	листок непрацездатності / лікарняний
болять сустави	болять суглоби
бояришник	глід
бразилійці	бразильці
брат старше мене на три роки	брат старший за мене на три роки
братерська могила	братська могила
брати в толк	уторопати
брати на помітку	брати на замітку
брати якнайбільш активну участь	брати (взяти) якнайактивнішу участь
братові черевик порвався	у брата черевик порвався
братські народи	братні народи
брестчина	берестейщина
бреше не червоніючи	бреше не соромлячись
брильянт	діамант
бродити вуличками	блукати вуличками
бруднослів'я	лихослів'я
достойний	гідний
на стажировці	на стажуванні
славної честі	честі
у розпачу	у розпачі
у числі присутніх	серед присутніх
бувші в'язні	колишні в'язні
бувший у користуванні	вживаний
буде нести цивільну відповідальність	буде притягнутий до цивільної відповідальності
буде уроком для виборців	буде наукою для виборців
будемо відвертими	будемо відверті
будинок пристарілих	будинок людей похилого віку
будучи в руках	перебуваючи в руках
будь-якою ціною	за будь-яку ціну
на днях	цими днями
вітаючи черемошинців	вітаючи черемошанців
були начувані	багато чули
були у жаху	жахнулися
було зачеплено питання	порушили проблему
було прийнято рішення	було вирішено
бунтар-одиночка	бунтар-одинак
бурхливі овації	овації / бурхливі оплески
бурякові ланки	буряківницькі ланки
буряковод	буряківник
бути випереджаючими	бути випереджувальними
бути обузою	бути тягарем
бути при повному розсудку	бути при повному розумі
вавілон	вавилон
гідний для наслідування	гідний наслідування
гіпертонічна криза	гіпертонічний криз
гірше всього	найгірше
газофікація	газифікація
гальмуючий центр	гальмівний центр
гамма барв	гама барв
гандлюють	гендлюють
гарантійний заробіток	гарантований заробіток
гармонічні відносини	гармонійні відносини
буси	намисто
обої	шпалери
плісіровка	плісе
гарна пропозиція	слушна (прийнятна, вдала, доречна, добра) пропозиція
гастрольор	гастролер
гвіздок програми	окраса програми
геноцид проти народу	геноцид народу
геополітичне становище	геополітичне розташування
герцоговина	герцеговина
геть неефективні	вкрай неефективні
гетьманський посильний	гетьманський посланець
гладити білизну	прасувати білизну
глас вопіющого в пустині	голос волаючого в пустелі
глиба	брила
глибокий поклін	низький уклін
глибоко споріднену нам	глибоко споріднену з нами
глуха ніч	глупа ніч
гнівно клеймили запроданців	гнівно таврували запроданців
говірна лексика	говіркова лексика
говорити без перестанку	говорити безперестанку
говорити відкрито	говорити відверто, щиро
говорити шепотом	говорити пошепки
говорять, що я гарна	кажуть, що я гарна
годі розглагольствувати	годі просторікувати
годиться для лікування	придатне для лікування
годна творити	здатна творити
голіностопний суглоб	п'ятигомілковий суглоб
гола правда	щира (чиста, сама) правда
голова закрутилася	голова запаморочилася
голова як свинцем налита	обважніла голова / голова мов чавуном налита
головний поставщик	головний постачальник
збройними силами	збройних сил
головокружіння	запаморочення голови
головуючий зборів	голова зборів
голодний жолудок	голодний шлунок
гончарські вироби	гончарні вироби
горільчані вироби	горілчані вироби
горбушка хліба	окраєць хліба
гордитися успіхами	пишатися успіхами
гостинно розпахнув двері	гостинно відчинив двері
лезвія	леза
лезвіє	лезо
готовити	готувати
гра варта свічок	справа варта заходу / це того вартує
грабунок йде по всіх фронтах	грабунок іде на всіх фронтах
гранатові набої	гранатні набої
границя	кордон
грати в волан	грати в бадмінтон
грати в пасьянс	розкладати пасьянс
шахмати	шахи
графік не виконується	графік не дотримується
уплотнився	ущільнився
сіли у кружок	сіли в коло
гребують наше ремесло	гребують нашим ремеслом
грецький горіх	волоський горіх
гречнева каша	гречана каша / гречка
слухання злочинів	слухання про злочини
громадський обов'язок	громадянський обов'язок
громадянський шлюб	цивільний шлюб
грошовий перевод	грошовий переказ
грудні діти	немовлята
губимо природу	знищуємо природу
губити терпіння	утрачати терпіння / виходити з терпіння / не стає терпцю
губить свій зміст	втрачає сенс
губить своє достоїнство	принижує (втрачає) свою гідність
гусине пір'я	гусяче пір'я
діаметрально-протилежні	діаметрально протилежні
кидається в очі	упадає в очі
дівчина з ізюминкою	дівчина з перчиком
ледве зробив ковток	ледве ковтнув
дійсна незалежність	справжня незалежність
діло минуле	давня справа
діловедення	діловодство
дільниця боротьби за державність	ділянка боротьби за державність
дільничий	дільничний
дірокол	діркопробивач
діставалося більше від батька	перепадало більше від батька
батрак	діти наймит
діюча особа	дійова особа
діючий	чинний
діяти разом з	діяти спільно
діяльність технічних засобів	дія технічних засобів
діяти на нерви	нервувати / дратувати
давати прес-конференцію	проводити прес-конференцію
давайте назвемо	назвімо
давайте повернемося	повернімося
давайте продовжимо розмову	тож розмовляймо далі
давати поблажку	потурати
далі не наведено ладу	досі не наведено ладу
дати слово	надати слово
дальнійше формування	дальше формування
дальнобійники	далекобійники
дальнобойна зброя	далекобійна зброя
дальше буде	далі буде
дана тема зацікавила усіх	ця тема зацікавила усіх
даром потратив час	даремно (марно, без потреби) втратив (згаяв) час
дарувати одяг навирост	дарувати одяг на виріст
дата і час поступлення хворого	дата і час прийняття (госпіталізації) хворого
дати їм то одне, то друге	дати їм то те, то те
дати розрахунок працівникові	розрахувати працівника
дати толк	довести до пуття
датчанин	данець
дбати за	дбати про
дві великі різниці	велика різниця
гектара землі	гектари землі
пучка петрушки	пучки петрушки
два чоботи — пара	обоє рябоє / яке їхало, таке й здибало
де б навчилися цій професії	де навчали б цієї професії
дедектив	детектив
дезінфікуючий	дезінфекційний
депортація на сибір	депортація в сибір / до сибіру
іти на зустріч інтересам	захистити інтереси
приймати до уваги	взяти до уваги
державі нічого не коштує взяти на свій бюджет	державі не важко взяти на свій бюджет
закрома	засіки
створює останній шанс виживання	дає останній шанс виживання
державо-творчий	державотворчий
держати себе з достоїнством	достойно (гідно) триматися
дермантин	дерматин
дестабілізуючий	дестабілізаційний
хоругв	хоругов
дещо заторможено	дещо загальмовано
не попадають	не потрапляють
джентельмен	джентльмен
дивіденти	дивіденди
дивитися іншими очима	дивитися по-іншому
дивитися в упор	дивитися у вічі
дивлячись на обставини	залежно від обставин
диву даєшся	не надивуєшся / дивина та й годі
дика пантера була чорна, як сажа	пантера була чорна, як сажа
дипломник	дипломант
дирекція бездіє	дирекція не працює / дирекція бездіяльна
дати добро	погодитись / схвалити
дискусувати	дискутувати
коньки	ковзани
дихати в плечі	наступати на п'яти
дихати злобою	важким духом дихати
для бажаючих здійснити	для охочих здійснити
для будь-кого зрозуміло	будь-кому зрозуміло
для видимості	для годиться
для всіх інших	для решти
для галочки	для форми
для здійснення підтримки	для здобуття підтримки
для ліквідації каменів	для видалення каменів
для нас зрозуміло	нам цілком зрозуміло
для нас не підходить	нам не підходить
для настойки можна використати	для настоянки беруть
оновлення стосунків	відновлення стосунків
для продажі	на продаж
для споглядання за вуликом	для спостерігання за вуликом
до відходу на спання	перед сном
до востребовання	до запитання
до краю виснажений	вкрай виснажений
до порядку денного включити питання	до порядку денного внести питання
до цього є чимало підстав	для цього є чимало підстав
добавилось	додалося
добавлена вартість	додана вартість
добавляти	додавати
добитись успіхів	домогтися успіху
добитися мети	досягти мети
добитися суворого обліку товарів	домогтися суворого обліку товарів
добре обізнані про	добре обізнані з
довіреність	доручення
довгі роки працювати	упродовж багатьох років працювати
палка	довга
довгий час	протягом тривалого часу
довгожданний	довгожданий
довжники	боржники
доводи	докази
доводити до ладу	обладнати
доглядати за	доглядати
додержувати чистоту	додержувати чистоти
дозировка	дозування
докази про	докази
доки — поки	доки — доти
доки — поти	поки — поти
докладнішу інформацію щодо	докладніше про
докласти зусиль на	докласти зусиль до
включає важні відомості	документ важливі відомості
знаходитися в архіві	зберігатися в архіві
дольова участь	пайова участь
доповнюючий	доповнювальний
допомога по	допомога для
старики	люди похилого віку
допомогу оказали	допомогли
допризивник	допризовник
допускаються помилки	припускаються помилки
допустимо	припустимо
хрусталь	кришталь
дорогими для рідного народу	дорогими рідному народові
досаджувати	допікати
перепльотчик	палітурник
фрезеровщик	фрезерувальник
дотичний з	дотичний до
доходна частина бюджету	дохідна частина бюджету
доходне місце	зискове / вигідне місце
дочірне підприємство	дочірнє підприємство
дочка — вилита мама	дочка — викапана мама
дощова осінь	дощовита осінь
зачіпки	причіпки
дрібничний	дріб'язковий
драматична діяльність	драматургійна діяльність
древньоруський	давньоруський
дрель	дриль
дрогобиччани	дрогобичани
другим разом	іншим разом
друга по вагомості посада	друга за вагомістю посада
дружне ставлення	дружнє ставлення
врозрядку	урозбивку
дряблий	в'ялий
дубльонка	шкірянка / дублянка
боляче реагує	болісно реагує
думки від зустрічі	думки про зустріч
думки розходяться	думки не збігаються
дурний тон	поганий тон
дути на вогонь	дмухати на вогонь
дутий пузир	дута булька
душі не чаяти	душі не чути
пустота	порожнеча
дякуючи	завдяки
економічне витрачання	економне витрачання
економічно-потужний	економічно потужний
експериментувати на психіці	експериментувати з психікою
екс-президент	експрезидент
плавно торкається з місця	плавно рушає з місця
експресаналіз	експрес-аналіз
екстренне	екстрене
електрополотер	електричний натирач підлоги
енцифаліт	енцефаліт
етап роботи по формуванню	етап формування
ехо	відлуння / луна
є багато альтернатив	є альтернатива
є відсутнє подружжя	не було подружжя
гореч	гіркота
смисл	сенс
євро-азіатський	євразійський
євроазія	євразія
єдиноправильний	єдино правильний
єлисавета	єлизавета
єнакієво	єнакієве
єпіскоп	єпископ
буйне уявлення	буйна уява, фантазія
жаліти за	шкодувати за
жалітися	скаржатись
жахи	страхіття
жемчуг	перли
жертвенний	жертовний
кочегарка	кочегарня
жив-був	жив-поживав / жив собі
живописні сни	барвисті сни
живописна місцевість	мальовнича місцевість
на відшибі	на узбіччі
жилий	житловий
жильці	мешканці
жити під одною стелею	жити під одним дахом
життєстверджуючий	життєствердний
жовтуха	жовтяниця
жовчокамінна недуга	жовчнокам'яна недуга
жосткий	жорсткий
журналіст піддав рецензії путівник	журналіст подав рецензію на путівник
з іншого боку	з другого боку
з іншого боку до теми підходить	по-іншому тему висвітлює
трапилася біда	сталося лихо
з відому дирекції	з відома дирекції
з великим інтересом поставитися	дуже зацікавитися розповіддю
з видом знавця	з виглядом знавця
з виду випустити	випустити з уваги
з гарантією один рік	з гарантією на один рік
кайма	облямівка
з деяких пір	з якогось часу
з других підрозділів	з інших підрозділів
з малим шелестом	з тихим шелестом
з метою	для / щоб
з моменту публікації	з часу публікації
з наступних	з таких
з нетерпінням чекати	нетерпляче чекати
з отриманням незалежності	зі здобуттям незалежності
з різних галузів техніки	з різних галузей техніки
з розумінням поставитися до нужд	зрозуміти потреби
з таким твердженням можна зустрітися	таке твердження можна почути
з трудом заговорив	насилу заговорив
з точки зору вимог закону	з погляду права
з точки зору фахівців	на думку (з погляду) фахівців
з усіх ніг	щодуху / з усієї сили
з усіх-усюд	з усіх усюд
з часом підходили	згодом підходили
з трудом дається	важко дається
з'ява	з'явлення / поява
зі сторони митців пропонуються	митці пропонують
зілля запашні	зілля запашне
зілляти	злити
зір падає	зір погіршується
зіркий	бистрий / проникливий
зіслатися	послатися
за бажанням публіки	на бажання публіки
за браком 	через брак
за верству	за версту
за вимогою	на вимогу
за допомогою	з допомогою
за ним водиться звичка	у нього є звичка / він має звичку
за підозрінням	за підозрою
за поміркованими цінами	за помірними цінами
за прикладами	спираючись на
текучий рік	поточний рік
за тим, що не повернеш	за тим, чого не повернеш
признак	ознака
царствування	царювання
за часів юності	у юності
за чисельністю	за кількістю
забезпечити безпеку	гарантувати безпеку
бити тривогу	бити на сполох
заборгованість по виплаті	заборгованість з виплати
заборжники	боржники
забруднюючі речовини	забруднювальні речовини
платок	хустина
завідувач відділом	завідувач відділу
завіряти	запевняти
завітна мрія	заповітна мрія
завдяки посиленню репресивних заходів	через посилення репресивних заходів
завернути у папір	загорнути в папір
завести годинник	накрутити годинник
завзяті подвижники	справжні подвижники
завмер від несподіванки	завмер з несподіванки
завойовувати незалежність	виборювати незалежність
день відчинених дверей	день відкритих дверей
дивитися фільм	переглядати фільм
завтра приступимо до	завтра розпочнемо
загальні турботи	спільні турботи
загально-політичний	загальнополітичний
заготовка	заготівля
загранична мебель	імпортні меблі
заграничний паспорт	закордонний паспорт
загрузити вагон	завантажити вагон
загубити з виду	упустити (згубити) з очей
загубити надію	втратити надію
загубити силу	знесилитися / втратити силу
задівати	зачіпати
задаватися запитанням	поставити запитання
задати собі запитання	запитати в себе
задзвонити	зателефонувати
задобритися перед народом	задобрити народ
задоволений від співпраці	задоволений співпрацею
зажили рани	загоїлися рани
зажиточні люди	заможні люди
зазнайомитися	познайомитися
зазнати пагубного впливу	зазнати згубного впливу
зайві клопоти	зайвий клопіт
займатися дослідженням	досліджувати
займалитися політичними акціями	проводили політичні акції
займатися питанням	вивчати питання
очередь	черга
закінчити навчання	завершити навчання
заказати пальто	замовити пальто
заказний лист	рекомендований лист
закаляти	загартовувати
заключається у тому	полягає в тому
заключити договір	укласти договір
заключне заняття	підсумкове заняття
заключні результати	кінцеві результати
закон восторжествував	закон переміг
закрито на перерив	зачинено на перерву
закупка	закупівля
закуповочна ціна	закупівельна ціна
дуже величезний	дуже великий
залізовміщаючий	залізовмісний
півлітра води	половина літра води
залиш мене в спокої	дай мені спокій
залишитися в стороні	залишитися осторонь
як можна більше	якомога більше
замикаючий	замикальний
замкова скважина	замкова щілина
замороження	заморожування
замужня	заміжня / одружена
замшовий	замшевий
запалення десен	запалення ясен
запахло смаженим	запахло смаленим
запис здійснено	запис зроблено
пошлина	мито / збір
запобігати втрат	запобігати втратам
пробіли в знаннях	прогалини в знаннях
заявитель	заявник
запрошуємо для роботи	запрошуємо на роботу
навідатися в музей	відвідати музей
заробилися	запрацювалися
заронити підозру	збудити підозру
заряд бодрості	заряд бадьорості
засипати	засинати
заслуговує уваги	вартий уваги
засоби масових інформацій	засоби масової інформації
заставляти	примушувати
клейонка	церата
застерегти про небезпеку	застерегти від небезпеки
застосувавши відносно замовників санкції	застосувавши до замовників санкції
засучивши рукави	засукавши рукави
затверджувати принципи демократії	утверджувати принципи демократії
заточник	заточувальник
затрати	витрати
затрачено	витрачено
затронути	зачепити
захворіти кіром	захворіти на кір
спід	снід
захисний імунітет	імунітет
захист шляхом обмеження	захист через обмеження
клітка шкіри	клітина шкіри
заходи для догляду	засоби догляду
заходи підлягають невідкладному вирішенню	заходи підлягають невідкладному виконанню
заходи по відзначенню	заходи щодо відзначення
викорінення	викоренення
захолустя	задвірки
захоплюючі події	захопливі події
заціпило мову	заціпило рота / заціпило
георгіни	жоржини
зачепити питання	порушити питання
зачинити двері на замок	замкнути двері
зачитати доповідь	прочитати доповідь
на весь голос	на повний голос
заяць	заєць
збільшення штрафів	підвищення штрафів
збільшувати рівень	підвищувати рівень
збанок	дзбанок
збирати цукристі	викопувати цукристі
збиратися в дорогу	лагодитися в дорогу
збити з толку	збити з пантелику
зблякнути	поблякнути
винести постанову	схвалити постанову
збори постановили	збори ухвалили
прийняти постанову	збори ухвалили
збочення від принципів демократизму	нехтування принципами демократизму
зв'язаних з	пов'язаних з
зв'язувати науку й виробництво	поєднувати науку й виробництво
зв'язуючий	сполучний
звідтам	звідти
звільнити кошти	вивільнити кошти
звільняти товариша з біди	визволяти товариша з біди
звіщати з посади	усувати з посади
зважати своїм обов'язком	вважати за свій обов'язок
уха	юшка з риби
зведений в ранг	зведений до рангу
звернення про	звернення з приводу
звернутися за адресою	звернутися на адресу
звертатися по телефону	звертатися телефоном
звертати на себе увагу	привертати до себе увагу
зверх плану	понад план
зверхвартість	надвартість
зверху донизу	згори донизу
звинувачення по статтях	звинувачення за статтями
зводити з глузду	доводити до божевілля
зворотній зв'язок	зворотний зв'язок
зворотна дорога	дорога назад
згідно розкладу дня	за розкладом
згідно технології	згідно з технологією
згортання крові	зсідання крові
згубний напрям	хибний напрям
згущонка	згущене молоко
здійснилити злочин	скоїти злочин
здійснювати пошуки розв'язання проблем	шукати способів розв'язання проблем
здійснювати тиск	чинити тиск
здавати іспити	складати іспити
здатність	спроможність
здача іспитів	складання іспитів
здача	решта
образ життя	спосіб життя
здоровий смисл	здоровий глузд
здоровпункт	пункт охорони здоров'я
земля обітованна	земля обітована
зимні пальта	зимові пальта
зйомочний	знімальний
зкомпроментувати подругу	скомпрометувати подругу
злісний п'яниця	затятий п'яниця
зла доля зустріла	зла доля спіткала
зливи викликають повені	зливи спричиняють повені
зловіщий	зловісний
злодії виявили опір	злодії чинили опір
зложити повноваження	скласти повноваження
злопам'ятний день	злощасний день
змістом своїм нагадувати	за змістом нагадувати
змія підколодна	гадина (гадюка) потайна
івано-франківці	іванофранківці
івано-франківець	іванофранківець
змазочні матеріали	мастильні матеріали
сівообіг	сівозміна
змилуватися на людей	зглянутися на людей
змучені люди	втомлені люди
змушуватиме до економії	спонукатиме до економії
знімати квартиру	винаймати квартиру
знайомство з документом	ознайомлення з документом
знасилування	зґвалтування
знати в чомусь толк	розумітися на чомусь
знати по вигляду	знати на вигляд
знати толк	розумітися / бути компетентним
знахабнілий до крайності	вкрай знахабнілий
значкісти	значківці
набутки	досягнення
значні перебільшення	значне перебільшення
значна частина прихильників	чимало прихильників
знаючий	обізнаний
зневіра в завтрашній день	зневіра в завтрашньому дні
знижують викиди	зменшують викиди
знизу доверху	знизу догори
зовнішньо-політична діяльність	зовнішньополітична діяльність
золоті колосся	золоте колосся
перстені	персні
приіски	копальні
зрікатися від ідеалів	зрікатися ідеалів
зрадити батьківщині	зрадити батьківщину
зраня	зранку
зробити крок назад	ступити крок назад
зробити слідуючий висновок	зробити такий висновок
зробити харакірі	вчинити харакірі
зробити уборку	прибрати
зрошувальні землі	зрошувані землі
зруйнувати до основи	зруйнувати дощенту
зупинення масових крадіжок	припинення масових крадіжок
зусилля виявилися сізіфовою працею	зусилля виявилися сізіфовою працею
зустрівся мені газда	зустрів я ґазду
зустрічати розуміння	порозумітися
і т. д. і т. п.	і т. д.
зовсім аргументованим	цілком аргументованим
і тому подібне	і таке інше / тощо
і, здавалося, що	і здавалося, що
розуміється	зрозуміло
вартує самої вищої оцінки	заслуговує найвищої оцінки
ігловколювання	голковколювання
ігровий зал	гральний зал
іде дискримінація	триває дискримінація
ідентичної до сучасної	ідентичної із сучасною
банкрот	банкрут
ідея про започаткування	задум започаткувати
ідея про подвійну юрисдикцію	ідея подвійної юрисдикції
із заздрістю	заздрісно
із-за погоди туристи не відвідали	через погоду туристи не відвідали
їзда верхом	їзда верхи
їздили за	їздили по
ілюстративний	ілюстрований
сильна дружба	міцна дружба
їм нема числа	їм нема ліку
інагурація	інавгурація
інбир	імбир
індючка	індичка
інженер-будівник	інженер-будівельник
іноземний текст	іншомовний текст
машинобудівництво	машинобудування
інформативні бюлетні	інформаційні бюлетені
інформація щодо	інформація про
інциндент	інцидент
інша половина	друга половина
іншими словами	інакше кажучи
іонізуюча радіація	іонізаційна радіація
іорданія	йорданія
ісконно наші	відвічно / споконвіку наші
існує десять напрямків розвитку	є десять напрямів розвитку
існуюче мито	чинне мито
їстивні гриби	їстівні гриби
істинно так	достеменно так
історично-меморіальний	історико-меморіальний
їх ватажок	їхній ватажок
далеко більше	значно більше
їхати по справі	їхати у справі
їхні потуги були марними	їхні наміри були марними
ішли опади у вигляді снігу	ішов сніг
йдучи назустріч численним проханням	задовольняючи численні прохання
йоан	іван
вислано для студіювання музики	вислано студіювати музику
гостроти	дотепи
просквозило	протягло
серце обірвалося	серце перестало битися
прийняли як	сприйняли як жарт / вважали за жарт
люба пісня	будь-яка пісня
попало від батька	дісталося від батька
прийшлося	довелося
присвоєно звання	йому надано звання
затрачена енергія	витрачена енергія
у вигляді кари	за кару
підходяща кандидатура	відповідна кандидатура
кіно-концертний	кіноконцертний
кінолента	кінострічка
коперніка	коперника
кінський	кінний
кінчати	скінчити / закінчити
мурликає	муркоче
казіно	казино
казначейський білет	білет державної скарбниці
калушський	калуський
кам'яний	ґрунт
грунт	ґрунт
кампанія здійснюється успішно	кампанія ведеться успішно
кампанія по виборах	кампанія щодо виборів
канівчанка	канівка
канцелярські приладдя	канцелярське приладдя
капає дощ	крапає дощ / накрапає дощ
капля	крапля
капризна дитина	вередлива (примхлива) дитина
кардинально відмінні	суттєво відмінні
картонна система	карткова система
картопля в мундирах	картопля в лушпинні
картофельне пюре	картопляне пюре
карцерогени	канцерогени
виручка	виторг
категорично не можу	ніяк не можу
кахель	кахлі
словакія	словаччина
квінтенсенція	квінтесенція
кваліфікаційна медична допомога	кваліфікована медична допомога
квартира з усіма зручностями	квартира з усіма вигодами
кватирувати	квартирувати
керівника назначають	керівника призначають
керуючий тресту	керівник тресту
кесареве січення	кесарів розтин
києвлянка	киянка
китайські громадяни	громадяни китаю
кліщі	обценьки
кладовка	комора
протиріччя	класові
клеймо	тавро
клонить до сну	сон клонить / знемагає / томить / на сон хилить / дрімота бере
на багатьох мовах	багатьма мовами
книжковий склад	книжкова комора
книжний магазин	книжковий магазин / книгарня
коверкати слова	калічити слова
коврові дорожки	килимові доріжки
слюна	слина
кожен з тих разів	кожного разу
кожна хвилина часу	кожна хвилина
потомки	нащадки
говорити колкості	говорити ущипливі слова / шпигати словами
колледж	коледж
кольористика	колористика
кольорова капуста	цвітна капуста
вкладиш	вкладка
під головуванням	на чолі з
командування флотом	командування флоту
компенсація у випадку каліцтва	компенсація за каліцтво
комплектуючі	комплектувальні
компроментувати	компрометувати
комунікаційна функція	комунікативна функція
комфорка	конфорка
комфортабельні умови	комфортні умови
комфортний літак	комфортабельний літак
конкурентноздатний	конкурентоспроможний
конкурентом молокозаводам був	конкурентом молокозаводів був
консолідуюча ідеологія	ідеологія консолідації
константувати	констатувати
контактний телефон	телефон
контраст кольорових площин	контраст колірних площин
на честь	з нагоди
конференція по	конференція щодо
пройшов з великим успіхом	мав великий успіх
коньюктивіт	кон'юнктивіт
коньюктура	кон'юнктура
копченості	копченина
корінним образом	докорінно
кораблебудівельний	кораблебудівний
коригуюча гімнастика	коригувальна гімнастика
користуватися вспишкою	користуватися лампою-спалахом
льготи	пільги
користуються найбільшою популярністю	здобули, мають найбільшу популярність
користуються найбільшою увагою	привертають найбільшу увагу
користуватися попитом	мати попит
користуватися старим гардеробом	використовувати старий гардероб
кормити	годувати
коротка ремарка	ремарка
коротше кажучи	коротко кажучи
кошти йдуть	кошти спрямовуються
коштовно обходитися	дорого обходитися
країна кленового листа	країна кленового листка
крайнє недопустимі	вкрай недопустимі
крайній строк	крайній термін
буде відчинено з обіда	буде відчинено після обіду
красити	фарбувати
кращі з кращих	найкращі / щонайкращі
креветочне масло	креветкове масло
крига рушила	крига скресла
крижовник	аґрус
кримсько-татарський	кримськотатарський
кристально чистий	кришталево чистий
неполадків	критика
кровавий	кривавий
кровельщик	покрівельник
кровожадний	кровожерний
кровопідтоки	синці
крокувати	простувати / йти / прямувати / рушати / ступати
круглодобовий режим	цілодобовий режим
круглодобово	цілодобово
круглорічно	цілорічно
кружевний	мереживний
кружка	кухлик
крупні підприємства	великі підприємства
крупний твір	визначний твір
крупним планом	широким планом
крупногабаритний	великогабаритний
крутиться голова	паморочиться в голові
самосвал	самоскид
кульчики	сережки
гов'ядина	яловичина
сельодка	оселедець
качан капусти	головка капусти
лоток яїчок	лоток яєць
пирожне	тістечко
купляти	купувати
куриний	курячий
курс долара росте	курс долара зростає
локті	лікті
куштуйте на здоров'я	їжте на здоров'я
ліжковий режим	лікарняний режим
лізти зі шкіри	пнутися зі шкури
рожон	рожен
лікарняний фах	лікарський фах
лікбез	лікнеп
ліки від	ліки проти
голодання	голодування
лікуючий лікар	лікар-куратор
лісне господарство	лісове господарство
земляніка	суниця
лічильник включено	лічильник увімкнено
лакіровка	дійсності
лакомство	ласощі
ларки	кіоски
ласкати	пестити
леб'яжий пух	лебединий пух
пайка	частка
недомогання	нездужання
легкоранимий	вразливий
легше всього	найлегше
листати журнал	гортати журнал
листв'яний	листяний
листки з книжок	аркуші з книжок
лиш тільки	як тільки / тільки-но
лишити прав	позбавити прав
лоботряс	лобур
логово	лігво
лом	брухт
ломана лінія	ламана лінія
лощина	видолинок / виярок / лощовина
лузгати	лузати
одиничні постріли	поодинокі постріли
львівська спілка письменників	львівська організація національної спілки письменників
любимець	улюбленець
до безтями	до нестями
рибалка	риболовля
спорити	сперечатися
почали тікати	кинулися тікати
людина рідкісної доброти	винятково добра людина
люксембургського	люксембурзького
люксембурці	люксембуржці
лютуюча криза	люта криза
м'явкати	нявкати
м'ягкі меблі	м'які меблі
м'ягкотілість	м'якотілість
м'якіший	м'якший
м'ясомолочна продукція	м'ясо-молочна продукція
не потрапив у ворота	не влучив у ворота
рудно	рудне
міжособисті стосунки	взаємостосунки
мізгують	мізкують
мілка тема	дрібна тема
мілошевич	милошевич
мінінгіт	менінгіт
міри безпеки	заходи безпеки
мукачів	мукачеве
місто яблонець над тисою	місто яблонець-над-тисою
казна	скарбниця
мітингуючі	мітингувальники
тормози	гальма
